"chrome","06/28/2018 10:45:05",613
"ie","06/28/2018 10:46:10",4915
"ie","06/28/2018 10:54:25",4877
"chrome","06/28/2018 10:56:07",603
"chrome","06/28/2018 11:03:52",662
"ie","06/28/2018 11:05:09",4695
"chrome","06/28/2018 11:13:23",624
"ie","06/28/2018 11:14:44",4860
"chrome","06/28/2018 11:23:01",769
"ie","06/28/2018 11:24:06",4674
"chrome","06/28/2018 11:32:19",627
"ie","06/28/2018 11:33:26",5087
"ie","06/28/2018 11:41:37",4994
"chrome","06/28/2018 11:43:28",837
"ie","06/28/2018 11:51:15",5046
"chrome","06/28/2018 11:53:19",585
"ie","06/28/2018 12:01:01",5854
"chrome","06/28/2018 12:03:38",778
"chrome","06/28/2018 12:11:26",1192
"ie","06/28/2018 12:12:32",5624
"chrome","06/28/2018 12:20:54",754
"ie","06/28/2018 12:22:00",5329
"ie","06/28/2018 12:30:23",5052
"chrome","06/28/2018 12:32:04",936
"chrome","06/28/2018 12:39:50",670
"ie","06/28/2018 12:41:46",5379
"chrome","06/28/2018 12:50:05",818
"ie","06/28/2018 12:51:19",5533
"ie","06/28/2018 12:59:35",5588
"chrome","06/28/2018 13:01:36",731
"ie","06/28/2018 13:09:16",5542
"chrome","06/28/2018 13:11:02",671
"chrome","06/28/2018 13:19:06",798
"ie","06/28/2018 13:20:18",5423
"ie","06/28/2018 13:28:41",4966
"chrome","06/28/2018 13:30:28",740
"ie","06/28/2018 13:38:27",4977
"chrome","06/28/2018 13:40:09",605
"chrome","06/28/2018 13:47:55",628
"ie","06/28/2018 13:49:04",5551
"ie","06/28/2018 13:57:18",5026
"chrome","06/28/2018 13:59:06",587
"chrome","06/28/2018 14:07:09",803
"ie","06/28/2018 14:08:38",4846
"ie","06/28/2018 14:16:52",5039
"chrome","06/28/2018 14:18:31",750
"chrome","06/28/2018 14:26:19",636
"ie","06/28/2018 14:27:25",5111
"ie","06/28/2018 14:35:45",4799
"chrome","06/28/2018 14:37:32",652
"ie","06/28/2018 14:45:21",5104
"chrome","06/28/2018 14:47:03",756
"ie","06/28/2018 14:54:47",5431
"chrome","06/28/2018 14:56:35",663
"ie","06/28/2018 15:04:14",5025
"chrome","06/28/2018 15:06:11",920
"chrome","06/28/2018 15:13:59",604
"ie","06/28/2018 15:15:15",5466
"chrome","06/28/2018 15:23:34",873
"ie","06/28/2018 15:24:40",4985
"ie","06/28/2018 15:33:03",5127
"chrome","06/28/2018 15:34:49",614
"chrome","06/28/2018 15:42:41",600
"ie","06/28/2018 15:43:47",4505
"chrome","06/28/2018 15:52:06",693
"ie","06/28/2018 15:53:12",4783
"chrome","06/28/2018 16:01:29",598
"ie","06/28/2018 16:02:34",5294
"chrome","06/28/2018 16:10:48",625
"ie","06/28/2018 16:12:05",4964
"ie","06/28/2018 16:20:17",5064
"chrome","06/28/2018 16:22:14",609
"ie","06/28/2018 16:30:01",5910
"chrome","06/28/2018 16:31:40",606
"ie","06/28/2018 16:39:22",5362
"chrome","06/28/2018 16:41:04",815
"chrome","06/28/2018 16:48:53",933
"ie","06/28/2018 16:50:04",4498
"ie","06/28/2018 16:58:16",4771
"chrome","06/28/2018 17:00:15",599
"ie","06/28/2018 17:08:08",5054
"chrome","06/28/2018 17:09:49",773
"ie","06/28/2018 17:17:29",6068
"chrome","06/28/2018 17:19:18",888
"chrome","06/28/2018 17:27:04",777
"ie","06/28/2018 17:28:14",5200
"chrome","06/28/2018 17:36:33",916
"ie","06/28/2018 17:38:04",5153
"chrome","06/28/2018 17:46:21",804
"ie","06/28/2018 17:47:30",5916
"chrome","06/28/2018 17:55:45",765
"ie","06/28/2018 17:57:09",4370
"ie","06/28/2018 18:05:23",4811
"chrome","06/28/2018 18:07:04",781
"chrome","06/28/2018 18:15:09",733
"ie","06/28/2018 18:16:19",5207
"ie","06/28/2018 18:24:33",4830
"chrome","06/28/2018 18:26:15",804
"chrome","06/28/2018 18:34:05",745
"ie","06/28/2018 18:35:21",5317
"ie","06/28/2018 18:45:04",5314
"chrome","06/28/2018 18:47:03",823
"chrome","06/28/2018 18:54:48",632
"ie","06/28/2018 18:55:57",5285
"chrome","06/28/2018 19:04:19",659
"ie","06/28/2018 19:05:39",4469
"ie","06/28/2018 19:13:51",4960
"chrome","06/28/2018 19:15:32",619
"chrome","06/28/2018 19:23:25",592
"ie","06/28/2018 19:24:32",5488
"ie","06/28/2018 19:32:45",5405
"chrome","06/28/2018 19:34:31",681
"ie","06/28/2018 19:42:32",5800
"chrome","06/28/2018 19:44:19",646
"chrome","06/28/2018 19:52:04",873
"ie","06/28/2018 19:53:18",5509
"chrome","06/28/2018 20:01:48",719
"ie","06/28/2018 20:02:54",5237
"ie","06/28/2018 20:11:14",4668
"chrome","06/28/2018 20:12:57",637
"chrome","06/28/2018 20:20:52",875
"ie","06/28/2018 20:22:06",5087
"chrome","06/28/2018 20:30:25",807
"ie","06/28/2018 20:31:50",5193
"ie","06/28/2018 20:40:05",5359
"chrome","06/28/2018 20:41:51",783
"chrome","06/28/2018 20:49:41",667
"ie","06/28/2018 20:50:49",5081
"ie","06/28/2018 20:59:03",4899
"chrome","06/28/2018 21:00:50",752
"ie","06/28/2018 21:08:47",5008
"chrome","06/28/2018 21:10:38",589
"chrome","06/28/2018 21:18:25",754
"ie","06/28/2018 21:19:36",4250
"ie","06/28/2018 21:27:49",4845
"chrome","06/28/2018 21:29:31",812
"chrome","06/28/2018 21:37:24",773
"ie","06/28/2018 21:38:49",4963
"chrome","06/28/2018 21:47:15",738
"ie","06/28/2018 21:48:27",5408
"chrome","06/28/2018 21:57:04",764
"ie","06/28/2018 21:58:14",5158
"ie","06/28/2018 22:06:27",5585
"chrome","06/28/2018 22:08:13",576
"ie","06/28/2018 22:15:53",5088
"chrome","06/28/2018 22:17:32",818
"chrome","06/28/2018 22:25:19",612
"ie","06/28/2018 22:26:39",4423
"ie","06/28/2018 22:34:52",4800
"chrome","06/28/2018 22:36:34",627
"ie","06/28/2018 22:44:19",5119
"chrome","06/28/2018 22:46:17",598
"ie","06/28/2018 22:53:59",5736
"chrome","06/28/2018 22:55:46",616
"ie","06/28/2018 23:03:33",5073
"chrome","06/28/2018 23:05:13",792
"ie","06/28/2018 23:12:51",5261
"chrome","06/28/2018 23:14:42",591
"chrome","06/28/2018 23:22:31",664
"ie","06/28/2018 23:23:56",5238
"chrome","06/28/2018 23:32:12",686
"ie","06/28/2018 23:33:23",4826
"ie","06/28/2018 23:41:36",4861
"chrome","06/28/2018 23:43:17",740
"ie","06/28/2018 23:51:09",4720
"chrome","06/28/2018 23:52:53",733
"ie","06/29/2018 00:00:55",6102
"chrome","06/29/2018 00:02:52",806
"ie","06/29/2018 00:10:38",4894
"chrome","06/29/2018 00:12:19",675
"ie","06/29/2018 00:20:04",4790
"chrome","06/29/2018 00:21:46",703
"chrome","06/29/2018 00:29:38",605
"ie","06/29/2018 00:30:48",4934
"chrome","06/29/2018 00:39:04",686
"ie","06/29/2018 00:40:33",4908
"chrome","06/29/2018 00:48:47",596
"ie","06/29/2018 00:49:57",5329
"chrome","06/29/2018 00:58:13",588
"ie","06/29/2018 00:59:24",4968
"chrome","06/29/2018 01:07:42",596
"ie","06/29/2018 01:08:52",4882
"chrome","06/29/2018 01:17:11",773
"ie","06/29/2018 01:18:51",5320
"chrome","06/29/2018 01:27:07",683
"ie","06/29/2018 01:28:17",5103
"ie","06/29/2018 01:36:33",5122
"chrome","06/29/2018 01:38:18",728
"chrome","06/29/2018 01:46:05",581
"ie","06/29/2018 01:47:21",4592
"ie","06/29/2018 01:56:01",5373
"chrome","06/29/2018 01:57:42",750
"ie","06/29/2018 02:05:27",5404
"chrome","06/29/2018 02:09:01",866
"chrome","06/29/2018 02:16:47",632
"ie","06/29/2018 02:17:57",5354
"ie","06/29/2018 02:26:35",4872
"chrome","06/29/2018 02:28:17",696
"ie","06/29/2018 02:36:01",5698
"chrome","06/29/2018 02:37:44",666
"chrome","06/29/2018 02:45:35",695
"ie","06/29/2018 02:46:44",5180
"chrome","06/29/2018 02:55:07",737
"ie","06/29/2018 02:56:42",4698
"ie","06/29/2018 03:04:57",5287
"chrome","06/29/2018 03:06:39",682
"ie","06/29/2018 03:14:25",5127
"chrome","06/29/2018 03:16:22",662
"chrome","06/29/2018 03:24:10",746
"ie","06/29/2018 03:25:21",5051
"chrome","06/29/2018 03:34:03",683
"ie","06/29/2018 03:35:13",5059
"ie","06/29/2018 03:43:29",5832
"chrome","06/29/2018 03:45:14",688
"chrome","06/29/2018 03:53:05",711
"ie","06/29/2018 03:54:15",4643
"ie","06/29/2018 04:02:35",4200
"chrome","06/29/2018 04:04:52",614
"chrome","06/29/2018 04:12:39",812
"ie","06/29/2018 04:13:49",4703
"chrome","06/29/2018 04:22:06",864
"ie","06/29/2018 04:23:22",5246
"chrome","06/29/2018 04:31:39",579
"ie","06/29/2018 04:32:49",5019
"ie","06/29/2018 04:41:14",5346
"chrome","06/29/2018 04:43:13",600
"chrome","06/29/2018 04:50:59",792
"ie","06/29/2018 04:52:11",5166
"ie","06/29/2018 05:00:30",5856
"chrome","06/29/2018 05:02:13",579
"ie","06/29/2018 05:09:58",5035
"chrome","06/29/2018 05:11:51",641
"ie","06/29/2018 05:19:36",4785
"chrome","06/29/2018 05:21:29",706
"ie","06/29/2018 05:29:14",5046
"chrome","06/29/2018 05:31:00",706
"chrome","06/29/2018 05:38:48",630
"ie","06/29/2018 05:39:58",5938
"chrome","06/29/2018 05:48:30",898
"ie","06/29/2018 05:49:41",4769
"chrome","06/29/2018 05:57:57",609
"ie","06/29/2018 05:59:23",5037
"chrome","06/29/2018 06:07:47",815
"ie","06/29/2018 06:08:50",5018
"ie","06/29/2018 06:17:07",4731
"chrome","06/29/2018 06:19:01",733
"chrome","06/29/2018 06:26:47",667
"ie","06/29/2018 06:27:57",5208
"ie","06/29/2018 06:36:23",5097
"chrome","06/29/2018 06:38:09",671
"chrome","06/29/2018 06:45:55",882
"ie","06/29/2018 06:47:07",5033
"ie","06/29/2018 06:55:31",5859
"chrome","06/29/2018 06:57:22",792
"chrome","06/29/2018 07:05:09",763
"ie","06/29/2018 07:06:14",5400
"chrome","06/29/2018 07:14:33",703
"ie","06/29/2018 07:16:04",4871
"ie","06/29/2018 07:24:18",4641
"chrome","06/29/2018 07:26:02",742
"ie","06/29/2018 07:33:50",4761
"chrome","06/29/2018 07:35:31",661
"chrome","06/29/2018 07:43:34",695
"ie","06/29/2018 07:44:46",5264
"ie","06/29/2018 07:53:14",4999
"chrome","06/29/2018 07:55:03",729
"chrome","06/29/2018 08:02:46",616
"ie","06/29/2018 08:03:57",5314
"chrome","06/29/2018 14:32:17",692
"ie","06/29/2018 14:33:55",4548
"ie","06/29/2018 14:42:13",4995
"chrome","06/29/2018 14:44:07",796
"chrome","06/29/2018 14:51:52",644
"ie","06/29/2018 14:53:04",5088
"ie","06/29/2018 15:01:16",5100
"chrome","06/29/2018 15:02:59",716
"ie","06/29/2018 15:11:12",5224
"chrome","06/29/2018 15:13:01",712
"ie","06/29/2018 15:20:47",5256
"chrome","06/29/2018 15:22:31",1060
"ie","06/29/2018 15:30:19",5284
"chrome","06/29/2018 15:32:02",700
"chrome","06/29/2018 15:39:47",628
"ie","06/29/2018 15:41:04",4656
"chrome","06/29/2018 15:49:20",630
"ie","06/29/2018 15:50:48",4973
"chrome","06/29/2018 15:59:07",618
"ie","06/29/2018 16:00:18",5502
"chrome","06/29/2018 16:08:37",584
"ie","06/29/2018 16:09:42",4895
"chrome","06/29/2018 16:18:18",788
"ie","06/29/2018 16:19:45",5227
"chrome","06/29/2018 16:28:34",871
"ie","06/29/2018 16:29:39",4992
"chrome","06/29/2018 16:37:55",993
"ie","06/29/2018 16:39:06",5093
"chrome","06/29/2018 16:47:23",812
"ie","06/29/2018 16:48:33",4863
"ie","06/29/2018 16:56:55",5006
"chrome","06/29/2018 16:58:43",589
